ID,Area Code,Phone,BusinessType,StoreName,AddressLine1,BankName,YearOpened,StoreLocation
1,(245),555/0173,Specialty Bike Shop,Sharp Bikes,2251 Elliot Avenue,International Bank,1974,France
2,(170),555/0127,Value Added Reseller,Progressive Sports,3207 S Grady Way,International Security,1976,Spain
3,(279),555/0130,Specialty Bike Shop,Advanced Bike Components,12345 Sterling Avenue,Primary International,1978,UK
4,(710),555/0173,Warehouse,Modular Cycle Systems,800 Interchange Blvd.,United Security,1980,UK
5,(828),555/0186,Value Added Reseller,Metropolitan Sports Supply,482505 Warm Springs Blvd.,Primary Bank & Reserve,1982,Germany
6,(244),555/0112,Value Added Reseller,Aerobic Exercise Company,39933 Mission Oaks Blvd,Guardian Bank,1984,France
7,(192),555/0173,Specialty Bike Shop,Associated Bikes,5420 West 22500 South,Reserve Security,1986,Germany
8,(872),555/0171,Warehouse,Exemplary Cycles,79945 Corporate Center Drive,International Bank,1988,UK
9,(488),555/0130,Specialty Bike Shop,Tandem Bicycle Store,3333 Micro Drive,International Security,1990,UK
10,(150),555/0127,Warehouse,Rural Cycle Emporium,6388 Lake City Way,Primary International,1992,Italy
